Epoch:133, loss:0.380, time_spent:3.21s
Epoch:134, loss:0.344, time_spent:3.21s
Epoch:135, loss:0.362, time_spent:3.21s
Epoch:136, loss:0.227, time_spent:3.21s
Epoch:137, loss:0.221, time_spent:3.21s
Epoch:138, loss:0.377, time_spent:3.21s
Epoch:139, loss:0.351, time_spent:3.21s
Epoch:140, loss:0.383, time_spent:3.21s
Epoch:141, loss:0.224, time_spent:3.21s
Epoch:142, loss:0.372, time_spent:3.21s
Epoch:143, loss:0.405, time_spent:3.21s
Epoch:144, loss:0.409, time_spent:3.21s
Epoch:145, loss:0.742, time_spent:3.21s
Epoch:146, loss:0.308, time_spent:3.21s
Epoch:147, loss:0.517, time_spent:3.21s
Epoch:148, loss:0.400, time_spent:3.22s
Epoch:149, loss:0.305, time_spent:3.22s
Epoch:150, loss:0.349, time_spent:3.22s
Epoch:151, loss:0.257, time_spent:3.21s
Epoch:152, loss:0.339, time_spent:3.21s
Epoch:153, loss:0.294, time_spent:3.21s
Epoch:154, loss:0.434, time_spent:3.21s
Epoch:155, loss:0.189, time_spent:3.21s
Epoch:156, loss:0.221, time_spent:3.21s
Epoch:157, loss:0.436, time_spent:3.21s
Epoch:158, loss:0.451, time_spent:3.21s
Epoch:159, loss:0.420, time_spent:3.22s
Epoch:160, loss:0.322, time_spent:3.21s
Epoch:161, loss:0.462, time_spent:3.21s
Epoch:162, loss:0.341, time_spent:3.21s
Epoch:163, loss:0.338, time_spent:3.22s
Epoch:164, loss:0.384, time_spent:3.21s
Epoch:165, loss:0.439, time_spent:3.22s
Epoch:166, loss:0.327, time_spent:3.21s
Epoch:167, loss:0.407, time_spent:3.21s
Epoch:168, loss:0.463, time_spent:3.21s
Epoch:169, loss:0.315, time_spent:3.21s
Epoch:170, loss:0.287, time_spent:3.21s
Epoch:171, loss:0.392, time_spent:3.21s
Epoch:172, loss:0.371, time_spent:3.21s
Epoch:173, loss:0.321, time_spent:3.21s
Epoch:174, loss:0.241, time_spent:3.21s
Epoch:175, loss:0.346, time_spent:3.21s
Epoch:176, loss:0.411, time_spent:3.21s
Epoch:177, loss:0.763, time_spent:3.21s
Epoch:178, loss:0.432, time_spent:3.21s
Epoch:179, loss:0.563, time_spent:3.21s
Epoch:180, loss:0.238, time_spent:3.21s
Epoch:181, loss:0.271, time_spent:3.21s
Epoch:182, loss:0.234, time_spent:3.22s
Epoch:183, loss:0.355, time_spent:3.21s
Epoch:184, loss:0.369, time_spent:3.20s
Epoch:185, loss:0.332, time_spent:3.20s
Epoch:186, loss:0.326, time_spent:3.21s
Epoch:187, loss:0.209, time_spent:3.21s
Epoch:188, loss:0.229, time_spent:3.21s
Epoch:189, loss:0.311, time_spent:3.21s
Epoch:190, loss:0.304, time_spent:3.21s
Epoch:191, loss:0.314, time_spent:3.21s
Epoch:192, loss:0.571, time_spent:3.21s
Epoch:193, loss:0.278, time_spent:3.21s
Epoch:194, loss:0.240, time_spent:3.21s
Epoch:195, loss:0.347, time_spent:3.21s
Epoch:196, loss:0.274, time_spent:3.22s
Epoch:197, loss:0.409, time_spent:3.21s
Epoch:198, loss:0.427, time_spent:3.22s
Epoch:199, loss:0.270, time_spent:3.21s
Epoch:200, loss:0.477, time_spent:3.21s
Epoch:201, loss:0.291, time_spent:3.21s
Epoch:202, loss:0.362, time_spent:3.21s
Epoch:203, loss:0.214, time_spent:3.21s
Epoch:204, loss:0.225, time_spent:3.21s
Epoch:205, loss:0.395, time_spent:3.21s
Epoch:206, loss:0.636, time_spent:3.21s
Epoch:207, loss:0.699, time_spent:3.21s
Epoch:208, loss:0.232, time_spent:3.21s
Epoch:209, loss:0.266, time_spent:3.22s
Epoch:210, loss:0.222, time_spent:3.21s
Epoch:211, loss:0.119, time_spent:3.21s
Epoch:212, loss:0.363, time_spent:3.22s
Epoch:213, loss:0.336, time_spent:3.22s
Epoch:214, loss:0.129, time_spent:3.22s
Epoch:215, loss:0.698, time_spent:3.21s
Epoch:216, loss:0.380, time_spent:3.21s
Epoch:217, loss:0.213, time_spent:3.21s
Epoch:218, loss:0.129, time_spent:3.21s
Epoch:219, loss:0.187, time_spent:3.21s
Epoch:220, loss:0.240, time_spent:3.21s
Epoch:221, loss:0.102, time_spent:3.21s
Epoch:222, loss:0.220, time_spent:3.21s
Epoch:223, loss:0.258, time_spent:3.21s
Epoch:224, loss:0.391, time_spent:3.21s
Epoch:225, loss:0.422, time_spent:3.21s
Epoch:226, loss:0.404, time_spent:3.21s
Epoch:227, loss:0.323, time_spent:3.21s
Epoch:228, loss:0.333, time_spent:3.21s
Epoch:229, loss:0.246, time_spent:3.22s
Epoch:230, loss:0.277, time_spent:3.22s
Epoch:231, loss:0.414, time_spent:3.22s
Epoch:232, loss:0.290, time_spent:3.21s
Epoch:233, loss:0.447, time_spent:3.21s
Epoch:234, loss:0.253, time_spent:3.21s
Epoch:235, loss:0.516, time_spent:3.21s
Epoch:236, loss:0.416, time_spent:3.21s
Epoch:237, loss:0.522, time_spent:3.21s
Epoch:238, loss:0.289, time_spent:3.21s
Epoch:239, loss:0.174, time_spent:3.21s
Epoch:240, loss:0.244, time_spent:3.20s
Epoch:241, loss:0.143, time_spent:3.21s
Epoch:242, loss:0.284, time_spent:3.21s
Epoch:243, loss:0.306, time_spent:3.21s
Epoch:244, loss:0.332, time_spent:3.21s
Epoch:245, loss:0.243, time_spent:3.21s
Epoch:246, loss:0.371, time_spent:3.21s
Epoch:247, loss:0.582, time_spent:3.21s
Epoch:248, loss:0.129, time_spent:3.21s
Epoch:249, loss:0.189, time_spent:3.21s
