,episode,reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0,1.0,-23.905921198196204,0.06,5.284803723020823e-08,1.6888321242583653e-06,2.0604705727382138,0.00039007937727042474,6.282813181898982,0.0,5.640738027444291e-05,0.00014077005321379426,2.0144552307944337,0.017075440100786383,-0.023025922610285677,0.0,850.3043098578061,849.3175997213298,849.4814292918488,850.2131064443789
1,1.0,-23.483574666290277,0.12000000000000001,1.9397502754510533e-05,8.024604820786044e-05,2.2412644203569636,0.0013253909366355288,6.281637758200242,0.0,0.0005401952269593082,0.003271573095692374,4.007298565216716,-0.09828988179471423,-0.15260510148739007,0.0,853.1472019305081,847.5953632442228,851.2602549831458,846.309451807101
2,1.0,-22.70372680336009,0.18,0.0002644913861905818,0.0003092530009021858,2.5405237444488513,6.27817306884239,6.272785688209728,0.0,0.010423418130711005,0.002323607066521572,5.960003283190513,-0.18936684903284745,-0.2863784725963775,0.0,853.8563528335792,848.1118626915024,851.0648309138406,847.1508901660017
3,1.0,-21.574358968634225,0.23999999999999996,0.0017348426095829602,-7.912949056990194e-05,2.955161409427311,6.2662364319394825,6.263215733322983,0.0,0.04090927926910685,-0.01938299640134316,7.850238887169873,-0.23677422799009967,-0.5685249592983413,0.0,855.8566383143835,843.6839627772837,851.9514188494702,849.9025099347972
4,1.0,-20.107317416576198,0.3,0.005902967364760759,-0.002655866953930586,3.480811428280041,6.251553303405425,6.2378973786243215,0.0,0.10554650416578389,-0.07131446740378197,9.657704280531922,-0.26947391440612506,-0.866212313073859,0.0,856.8599701216292,843.8627762906556,851.3271136550171,849.8972454750233
5,1.0,-18.317987022143306,0.36000000000000004,0.015842060391774875,-0.009337538271183055,4.111985582293244,6.234949687129127,6.195914853386991,0.0,0.23797762429609903,-0.1563841323390333,11.365280204959298,-0.29794284617955324,-1.178699514653938,0.0,857.9563362632015,844.0571343355682,850.9453483951742,849.6874695720516
6,1.0,-16.22478825068473,0.4200000000000001,0.03654482469535218,-0.022128893619029387,4.8422315017475865,6.216661374816159,6.135162586418568,0.0,0.4687338845025677,-0.27487454952194995,12.957916537757384,-0.3242536174637171,-1.491074887467019,0.0,858.7484389488317,844.4670780776729,850.8223668031278,849.6481231611585
7,1.0,-13.84887171717228,0.48000000000000015,0.07470604701724105,-0.0429989458421333,5.664203514437122,6.196746317450108,6.056242461749196,0.0,0.8228967823133566,-0.42537702267528943,14.42109071332423,-0.3551345473347399,-1.8103331113568917,0.0,859.6915657397573,844.6125524585334,850.5107450973719,849.1303248257839
8,1.0,-11.213835000061948,0.5400000000000001,0.13825924231980807,-0.07380391052688862,6.5698036293256745,6.175062939772447,5.958698662253189,0.0,1.3171692538088002,-0.6057030590630055,15.74447941899972,-0.37833959993327504,-2.135816795007009,0.0,860.3830970989533,844.4020885055687,849.9647561101177,848.9022695755949
9,1.0,-8.34490475317725,0.6000000000000002,0.2359847953702396,-0.11625298522715245,7.550513250768046,6.152231307252082,5.841959570243215,0.0,1.9635157694894367,-0.8129916607732375,16.924614566655755,-0.38529005382488324,-2.465184495542198,0.0,860.9094275263659,843.9914558765289,849.6020744726676,849.2296996473012
